Application Batch,csv_batch,object type,folder_barcode,specimen_barcode,filed_as_family,barcode_information,path_jpg,collector_number,collector_first_name 1,collector_middle_name 1,collector_last_name 1,collector_first_name 2,collector_middle_name 2,collector_last_name 2,collector_first_name 3,collector_middle_name 3,collector_last_name 3,collector_first_name 4,collector_middle_name 4,collector_last_name 4,collector_first_name 5,collector_middle_name 5,collector_last_name 5,Country,State,County,Locality,Verbatim Date,Start Date,End Date,Notes,Feedback
1,csv_1244,raw_csv,Cover 123456_1.jpg,123466.jpg,TRUE,,Production/2023/03/24/123466.jpeg,14577,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,12 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1245,raw_csv,Cover 123456_1.jpg,123467.jpg,TRUE,,Production/2023/03/24/123467.jpeg,14578,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,13 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1246,raw_csv,Cover 123456_1.jpg,123468.jpg,TRUE,,Production/2023/03/24/123468.jpeg,14579,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,14 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1247,raw_csv,Cover 123456_1.jpg,123469.jpg,TRUE,,Production/2023/03/24/123469.jpeg,14580,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,15 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1248,raw_csv,Cover 123456_1.jpg,123470.jpg,TRUE,,Production/2023/03/24/123470.jpeg,14581,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,16 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1249,raw_csv,Cover 123456_1.jpg,123471.jpg,TRUE,,Production/2023/03/24/123471.jpeg,14582,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,17 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1250,raw_csv,Cover 123456_1.jpg,123472.jpg,TRUE,,Production/2023/03/24/123472.jpeg,14583,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,18 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1251,raw_csv,Cover 123456_1.jpg,123473.jpg,TRUE,,Production/2023/03/24/123473.jpeg,14584,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,19 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1252,raw_csv,Cover 123456_1.jpg,123474.jpg,TRUE,,Production/2023/03/24/123474.jpeg,14585,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,20 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1253,raw_csv,Cover 123456_1.jpg,123475.jpg,TRUE,,Production/2023/03/24/123475.jpeg,14586,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,21 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1254,raw_csv,Cover 123456_1.jpg,123476.jpg,TRUE,,Production/2023/03/24/123476.jpeg,14587,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,22 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1255,raw_csv,Cover 123456_1.jpg,123477.jpg,TRUE,,Production/2023/03/24/123477.jpeg,14588,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,23 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1256,raw_csv,Cover 123456_1.jpg,123478.jpg,TRUE,,Production/2023/03/24/123478.jpeg,14589,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,24 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1257,raw_csv,Cover 123456_1.jpg,123479.jpg,TRUE,,Production/2023/03/24/123479.jpeg,14590,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,Marin,25 mi from of Mt.Fake,23' May 1944,5/23/44,,,
1,csv_1258,raw_csv,Cover 123480_1.jpg,123480.jpg,TRUE,,Production/2023/03/24/123480.jpeg,14591,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1259,raw_csv,Cover 123480_1.jpeg,123481.jpg,TRUE,,Production/2023/03/24/123481.jpeg,14592,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1260,raw_csv,Cover 123480_1.jpeg,123482.jpg,TRUE,,Production/2023/03/24/123482.jpeg,14593,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1261,raw_csv,Cover 123480_1.jpeg,123483.jpg,TRUE,,Production/2023/03/24/123483.jpeg,14594,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1262,raw_csv,Cover 123480_1.jpg,123484.jpg,TRUE,,Production/2023/03/24/123484.jpeg,14595,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1263,raw_csv,Cover 123480_1.jpg,123485.jpg,TRUE,,Production/2023/03/24/123485.jpeg,14596,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1264,raw_csv,Cover 123480_1.jpg,123486.jpg,TRUE,,Production/2023/03/24/123486.jpeg,14597,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1265,raw_csv,Cover 123480_1.jpeg,123487.jpg,TRUE,,Production/2023/03/24/123487.jpeg,14598,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1266,raw_csv,Cover 123480_1.jpeg,123488.jpg,TRUE,,Production/2023/03/24/123488.jpeg,14599,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1267,raw_csv,Cover 123480_1.jpeg,123489.jpg,TRUE,,Production/2023/03/24/123489.jpeg,14600,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1268,raw_csv,Cover 123480_1.jpeg,123490.jpg,TRUE,,Production/2023/03/24/123490.jpeg,14601,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1269,raw_csv,Cover 123480_1.jpeg,123491.jpg,TRUE,,Production/2023/03/24/123491.jpeg,14602,Mary,P.,Woolson,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1270,raw_csv,Cover 123480_1.jpeg,123492.jpg,TRUE,,Production/2023/03/24/123492.jpeg,14603,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,nothing here
1,csv_1271,raw_csv,Cover 123480_1.jpeg,123493.jpg,TRUE,,Production/2023/03/24/123493.jpeg,14604,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1272,raw_csv,Cover 123480_1.jpeg,123494.jpg,TRUE,,Production/2023/03/24/123494.jpeg,14605,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1273,raw_csv,Cover 123480_1.jpeg,123495.jpg,TRUE,,Production/2023/03/24/123495.jpeg,14606,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1274,raw_csv,Cover 123480_1.jpeg,123496.jpg,TRUE,,Production/2023/03/24/123496.jpeg,14607,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1275,raw_csv,Cover 123480_1.jpeg,123497.jpg,TRUE,,Production/2023/03/24/123497.jpeg,14608,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1276,raw_csv,Cover 123480_1.jpeg,123498.jpg,TRUE,,Production/2023/03/24/123498.jpeg,14609,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1277,raw_csv,Cover 123480_1.jpeg,123499.jpg,TRUE,,Production/2023/03/24/123499.jpeg,14610,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1278,raw_csv,Cover 123480_1.jpeg,123500.jpg,TRUE,,Production/2023/03/24/123500.jpeg,14611,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1279,raw_csv,Cover 123480_1.jpeg,123501.jpg,TRUE,,Production/2023/03/24/123501.jpeg,14612,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1280,raw_csv,Cover 123480_1.jpeg,123502.jpg,TRUE,,Production/2023/03/24/123502.jpeg,14613,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1281,raw_csv,Cover 123480_1.jpeg,123503.jpg,TRUE,,Production/2023/03/24/123503.jpeg,14614,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
1,csv_1282,raw_csv,Cover 123480_1.jpeg,123504.jpg,TRUE,,Production/2023/03/24/123504.jpeg,14615,Jose,Enrique,De La Roca,,,,,,,,,,,,,United States,California,San Bernadino,"34.223 N, 114.123 E, 2 miles down path from lake Fable parking lot",25' April 1980,4/25/80,,,
