Barcode,Accession,State,County,Full_name,Genus,Species,Determiner,jpeg_address
123493,456891,California,Santa Cruz,Diplacus aurantiacus,Diplacus,aurantiacus,L. Diaz,cas123493.jpeg
123494,456891,California,San Joaquin,Arctostaphylos manzanita,Arctostaphylos,manzanita,M. Edwards,cas123494.jpeg
123495,456891,California,Los Angeles,Salvia mellifera,Salvia,mellifera,N. Evans,cas123495.jpeg
123496,456891,California,Sonoma,Styrax officinalis,Styrax,officinalis,O. Flores,cas123496.jpeg
123497,456891,California,Placer,Arbutus menziesii,Arbutus,menziesii,P. Foster,cas123497.jpeg
123498,456891,California,Riverside,Camissonia bistorta,Camissonia,bistorta,Q. Gonzales,cas123498.jpeg
123499,456891,California,Monterey,Solidago californica,Solidago,californica,R. Gray,cas123499.jpeg
123500,456891,California,San Luis Obispo,Sidalcea malviflora,Sidalcea,malviflora,S. Green,cas123500.jpeg
123501,456891,California,San Bernardino,Salvia spathacea,Salvia,spathacea,T. Griffin,cas123501.jpeg
123502,456891,California,Fresno,Calystegia macrostegia,Calystegia,macrostegia,U. Hall,cas123502.jpeg
123503,456891,California,San Francisco,Marah fabaceus,Marah,fabaceus,V. Harris,cas123503.jpeg
123504,456891,California,Lassen,Asarum caudatum,Asarum,caudatum,W. Hill,cas123504.jpeg
123505,456891,California,Modoc,Eriophyllum confertiflorum,Eriophyllum,confertiflorum,X. Hughes,cas123505.jpeg
123506,456891,California,Lake,Rhus integrifolia,Rhus,integrifolia,Y. Jackson,cas123506.jpeg
123507,456891,California,Marin,Cercis occidentalis,Cercis,occidentalis,Z. James,cas123507.jpeg
123508,456891,California,Plumas,Triteleia laxa,Triteleia,laxa,A. Jenkins,cas123508.jpeg
123509,456891,California,Santa Clara,Rubus ursinus,Rubus,ursinus,B. Kelly,cas123509.jpeg
123510,456891,California,San Diego,Brodiaea laxa,Brodiaea,laxa,C. King,cas123510.jpeg
123511,456891,California,San Benito,Penstemon spectabilis,Penstemon,spectabilis,D. Lee,cas123511.jpeg
123512,456891,California,Imperial,Mimulus aurantiacus,Mimulus,aurantiacus,E. Lewis,cas123512.jpeg
123513,456891,California,Trinity,Arctostaphylos uva-ursi,Arctostaphylos,uva-ursi,F. Long,cas123513.jpeg
123514,456891,California,Madera,Ceanothus thyrsiflorus,Ceanothus,thyrsiflorus,G. Lopez,cas123514.jpeg
123515,456891,California,Sacramento,Eschscholzia californica,Eschscholzia,californica,H. Martinez,cas123515.jpeg
123516,456891,California,Siskiyou,Salvia apiana,Salvia,apiana,I. Miller,cas123516.jpeg
123517,456891,California,Humboldt,Lupinus arboreus,Lupinus,arboreus,J. Mitchell,cas123517.jpeg
123518,456891,California,Calaveras,Sisyrinchium bellum,Sisyrinchium,bellum,K. Moore,cas123518.jpeg
123519,456891,California,Tulare,Mimulus aurantiacus,Mimulus,aurantiacus,L. Morgan,cas123519.jpeg
123520,456891,California,Kings,Clarkia amoena,Clarkia,amoena,M. Morris,cas123520.jpeg
123521,456891,California,Butte,Penstemon heterophyllus,Penstemon,heterophyllus,N. Nelson,cas123521.jpeg
123522,456891,California,Yuba,Eriogonum giganteum,Eriogonum,giganteum,O. Parker,cas123522.jpeg
123523,456891,California,Napa,Dudleya farinosa,Dudleya,farinosa,P. Perez,cas123523.jpeg
123524,456891,California,Orange,Ribes sanguineum,Ribes,sanguineum,Q. Perry,cas123524.jpeg
123525,456891,California,Amador,Asclepias fascicularis,Asclepias,fascicularis,R. Phillips,cas123525.jpeg
123526,456891,California,San Joaquin,Fremontodendron californicum,Fremontodendron,californicum,S. Powell,cas123526.jpeg
123527,456891,California,Merced,Mahonia aquifolium,Mahonia,aquifolium,T. Price,cas123527.jpeg
123528,456891,California,Shasta,Hesperoyucca whipplei,Hesperoyucca,whipplei,U. Ramirez,cas123528.jpeg
123529,456891,California,El Dorado,Aquilegia formosa,Aquilegia,formosa,V. Reed,cas123529.jpeg
123530,456891,California,Tuolumne,Epilobium canum,Epilobium,canum,W. Richardson,cas123530.jpeg
123531,456891,California,Colusa,Trillium ovatum,Trillium,ovatum,X. Rivera,cas123531.jpeg
123532,456891,California,Mendocino,Baccharis pilularis,Baccharis,pilularis,Y. Roberts,cas123532.jpeg
123533,456891,California,Solano,Gilia capitata,Gilia,capitata,Z. Robinson,cas123533.jpeg
123534,456891,California,Mariposa,Keckiella cordifolia,Keckiella,cordifolia,A. Rodriguez,cas123534.jpeg
123535,456891,California,Glenn,Festuca californica,Festuca,californica,B. Rogers,cas123535.jpeg
123536,456891,California,Ventura,Iris douglasiana,Iris,douglasiana,C. Ross,cas123536.jpeg
123537,456891,California,Kern,Nemophila men,Nemophila,men,D. Russell,cas123537.jpeg
123538,456891,California,Contra Costa,Eriophyllum stachaedifolium,Eriophyllum,stachaedifolium,E. Sanchez,cas123538.jpeg
123539,456891,California,Placer,Adiantum aleuticum,Adiantum,aleuticum,F. Sanders,cas123539.jpeg
123540,456891,California,San Mateo,Salvia leucophylla,Salvia,leucophylla,G. Scott,cas123540.jpeg
123541,456891,California,Santa Cruz,Camissoniopsis cheiranthifolia,Camissoniopsis,cheiranthifolia,H. Simmons,cas123541.jpeg
123542,456891,California,Alpine,Silene laciniata,Silene,laciniata,I. Smith,cas123542.jpeg
123543,456891,California,Nevada,Arctostaphylos patula,Arctostaphylos,patula,J. Stewart,cas123543.jpeg
123544,456891,California,Santa Barbara,Rhamnus ilicifolia,Rhamnus,ilicifolia,K. Taylor,cas123544.jpeg
123545,456891,California,Riverside,Salvia mellifera,Salvia,mellifera,L. Thomas,cas123545.jpeg
123546,456891,California,Del Norte,Quercus agrifolia,Quercus,agrifolia,M. Thompson,cas123546.jpeg
123547,456891,California,Stanislaus,Epilobium canum,Epilobium,canum,N. Torres,cas123547.jpeg
123548,456891,California,San Luis Obispo,Campanula californica,Campanula,californica,O. Turner,cas123548.jpeg
123549,456891,California,Fresno,Trichostema lanatum,Trichostema,lanatum,P. Walker,cas123549.jpeg
123550,456891,California,San Bernardino,Lotus scoparius,Lotus,scoparius,Q. Ward,cas123550.jpeg
123551,456891,California,Los Angeles,Sambucus mexicana,Sambucus,mexicana,R. Watson,cas123551.jpeg
123552,456891,California,Sonoma,Sidalcea malviflora,Sidalcea,malviflora,S. White,cas123552.jpeg
123553,456891,California,Modoc,Chilopsis linearis,Chilopsis,linearis,T. Williams,cas123553.jpeg
123554,456891,California,Marin,Cirsium occidentale,Cirsium,occidentale,U. Wilson,cas123554.jpeg
